Pais,Pobl,Natalidad,EsperanzaVida,Mortalidad,BalanzaComercial,PIB,ProdCereales
Afganist‡n,27963,35.6,59.8,8.6,-4766,566,157.1353205
Albania,2902,13.1,77.5,7.2,-2861,3786,577.6852623
Alemania,80435,8.3,80.7,10.8,205408,41100,2659.286186
Angola,21220,46.2,51.7,14.2,29864,4221,19.54152729
Arabia Saudita,28091,20.8,74.1,3.4,144283,19327,10.288944
Argelia,36036,25.1,74.4,5.1,17558,4350,113.11257
Argentina,41223,17.8,76,7.6,12057,11508,310.5318467
Armenia,2963,13.3,74.6,9,-2771,3125,191.3077837
Australia,22163,13.5,82.1,6.7,10724,57593,82.63341176
Austria,8392,9.5,81.1,9.4,-5712,46377,1593.544304
Azerbaiy‡n,9100,21.2,70.6,7,14760,5817,404.5278943
Bangladesh,151617,20.4,71,5.5,-11877,758,5684.919342
BŽlgica,10930,11.6,80.5,9.8,15721,44273,2282.051763
Benin,9509,36.6,59.2,9.6,-1057,690,393.3043243
Bielorrusia,9492,11.7,71.1,14.2,-9601,5818,764.6074352
Bolivia (Estado Plurinacional de),9918,24.4,67.7,7.6,998,1935,49.29318939
Bosnia y Herzegovina,3836,9.1,76.3,10.3,-4402,4380,511.7679481
Botswana,2048,25.6,64.1,7.5,-975,6980,2.337080388
Brasil,198615,15.1,74.1,6.1,10378,10978,272.8247528
Bulgaria,7407,9.4,74,15.1,-4902,6587,1371.647472
Burkina Faso,15632,40.8,58.1,10,-837,579,377.8411765
Camerœn,20590,37.5,54.9,11.9,-952,1145,287.7333333
Canad‡,34127,10.9,81.8,7.3,-4638,47297,694.9117008
Chad,11897,45.9,51.1,14.5,903,736,43.04854602
Chile,17015,13.5,81.2,5.1,11068,12685,225.751787
Colombia,45918,16.2,73.8,5.8,-973,6180,95.73968746
Congo,4066,37.3,61.4,9,5213,2987,2.353773585
Costa de Marfil,20132,37.4,51,13.9,2423,1208,71.75859223
Costa Rica,4545,15.1,79.2,4.7,-4214,7773,150.4090186
Croacia,4317,9.8,77.1,12.4,-8244,13754,2265.726657
Cuba,11308,10.5,79.2,7.7,-5975,5702,121.6239463
Dinamarca,5551,10.4,80,9.7,12589,57614,3342.911585
Ecuador,14934,21.2,75.5,5.2,-3176,4637,363.6544558
Egipto,82041,28.5,70.8,6.2,-26485,2749,5410.089147
El Salvador,6038,17.5,72.6,6.7,-4077,3444,634.5162731
Eslovaquia,5407,10.5,76,9.8,-2098,16381,1366.357032
Eslovenia,2053,10.5,80.1,9.4,-1588,23352,1190.304167
Espa–a,46601,9.3,82.3,8.8,-69274,30999,717.1587537
Estonia,1332,10.7,76.5,11.9,-675,15010,709.6987448
Etiop’a,87562,33.2,63.1,7.8,-6216,302,424.3647226
Federaci—n Rusa,143158,12.7,69.8,13.9,168013,10618,278.162132
Fiji,860,20.7,69.7,6.8,-975,3649,20.29882353
Filipinas,93039,24,68,6.7,-6992,2136,1786.910367
Finlandia,5368,10.7,80.5,9.6,719,46165,1309.540481
Francia,62961,12.4,81.9,8.9,-91697,40617,2367.793509
Gab—n,1542,30.8,63.7,9,5706,8278,7.906976744
Georgia,4250,13.7,74.6,11.5,-3580,2652,89.31156187
Ghana,24318,33.5,61,9.2,-3077,1326,185.1412102
Grecia,11178,8.9,80.6,10.5,-39337,26967,493.1495098
