Id,Prediction
1,1108603.3426
2,4855396.6716
3,2000542.4494
4,2772641.5616
5,928353.03565
6,134180.17573
7,449164.81939
8,647360.11129
9,-32309.62096
10,604964.18808
11,572035.4501
12,375800.45743
13,2772641.5616
14,164709.07741
15,880690.20565
16,718489.00943
17,134180.17573
18,1108603.3426
19,403974.68273
20,718489.00943
21,1224953.0353
22,139536.3776
23,604964.18808
24,928353.03565
25,646306.37075
26,-32309.62096
27,150981.64898
28,572035.4501
29,375800.45743
30,336014.05737
31,310683.37125
32,604964.18808
33,718489.00943
34,600966.00423
35,134180.17573
36,403974.68273
37,665683.6598
38,646306.37075
39,711079.11635
40,4855396.6716
41,922712.56656
42,-32309.62096
43,585216.77752
44,790497.9542
45,4855396.6716
46,150981.64898
47,134180.17573
48,535165.99956
49,928353.03565
50,2772641.5616
51,600966.00423
52,375800.45743
53,154231.91154
54,1328648.6955
55,4855396.6716
56,833001.46459
57,711079.11635
58,139536.3776
59,375800.45743
60,572035.4501
61,164709.07741
62,880690.20565
63,139536.3776
64,604964.18808
65,1108603.3426
66,833001.46459
67,1108603.3426
68,718489.00943
69,600966.00423
70,3945913.9091
71,790497.9542
72,-32309.62096
73,134180.17573
74,1224953.0353
75,647360.11129
76,684168.37587
77,646306.37075
78,-32309.62096
79,1108603.3426
80,359108.08872
81,604964.18808
82,150981.64898
83,790497.9542
84,107404.82683
85,359108.08872
86,604964.18808
87,134180.17573
88,572035.4501
89,928353.03565
90,403974.68273
91,2772641.5616
92,600966.00423
93,833001.46459
94,684168.37587
95,604964.18808
96,375800.45743
97,1108603.3426
98,403974.68273
99,4855396.6716
100,107404.82683
101,2772641.5616
102,604964.18808
103,928353.03565
104,134180.17573
105,232259.15801
106,164709.07741
107,1108603.3426
108,310683.37125
109,392551.77702
110,600966.00423
111,922712.56656
112,3945913.9091
113,646306.37075
114,403974.68273
115,359108.08872
116,336014.05737
117,894868.97736
118,2772641.5616
119,600966.00423
120,1673940.205
121,4855396.6716
122,139536.3776
123,449164.81939
124,403974.68273
125,-32309.62096
126,107404.82683
127,139536.3776
128,646306.37075
129,139536.3776
130,359108.08872
131,4855396.6716
132,1224953.0353
133,164709.07741
134,375800.45743
135,1328648.6955
136,711079.11635
137,647360.11129
138,375800.45743
139,572035.4501
140,600966.00423
141,154231.91154
142,1328648.6955
143,665683.6598
144,150981.64898
145,535165.99956
146,647360.11129
147,894868.97736
148,600966.00423
149,107404.82683
150,880690.20565
151,139536.3776
152,922712.56656
153,665683.6598
154,403974.68273
155,4855396.6716
156,1108603.3426
157,647360.11129
158,604964.18808
159,359108.08872
160,139536.3776
161,150981.64898
162,134180.17573
163,535165.99956
164,1108603.3426
165,928353.03565
166,2772641.5616
167,1673940.205
168,336014.05737
169,1328648.6955
170,4855396.6716
171,359108.08872
172,134180.17573
173,535165.99956
174,572035.4501
175,336014.05737
176,-32309.62096
177,139536.3776
178,604964.18808
179,665683.6598
180,647360.11129
181,375800.45743
182,310683.37125
183,4855396.6716
184,922712.56656
185,107404.82683
186,585216.77752
187,139536.3776
188,684168.37587
189,164709.07741
190,107404.82683
191,833001.46459
192,665683.6598
193,894868.97736
194,403974.68273
195,2772641.5616
196,154231.91154
197,790497.9542
198,1108603.3426
199,4855396.6716
200,833001.46459
201,134180.17573
202,711079.11635
203,1189326.5055
204,-32309.62096
205,139536.3776
206,392551.77702
207,665683.6598
208,535165.99956
209,403974.68273
210,375800.45743
211,880690.20565
212,336014.05737
213,718489.00943
214,600966.00423
215,139536.3776
216,3945913.9091
217,375800.45743
218,107404.82683
219,790497.9542
220,375800.45743
221,833001.46459
222,572035.4501
223,232259.15801
224,310683.37125
225,336014.05737
226,392551.77702
227,684168.37587
228,1232489.568
229,-32309.62096
230,585216.77752
231,2772641.5616
232,684168.37587
233,604964.18808
234,134180.17573
235,1108603.3426
236,392551.77702
237,375800.45743
238,2000542.4494
239,403974.68273
240,449164.81939
241,164709.07741
242,150981.64898
243,647360.11129
244,-32309.62096
245,4855396.6716
246,164709.07741
247,336014.05737
248,894868.97736
249,1232489.568
250,164709.07741
251,375800.45743
252,684168.37587
253,1108603.3426
254,600966.00423
255,1873901.4488
256,1673940.205
257,134180.17573
258,164709.07741
259,2000542.4494
260,232259.15801
261,164709.07741
262,880690.20565
263,392551.77702
264,3945913.9091
265,336014.05737
266,790497.9542
267,359108.08872
268,604964.18808
269,1189326.5055
270,833001.46459
271,1108603.3426
272,392551.77702
273,3945913.9091
274,646306.37075
275,164709.07741
276,790497.9542
277,833001.46459
278,684168.37587
279,1108603.3426
280,572035.4501
281,665683.6598
282,-32309.62096
283,1108603.3426
284,833001.46459
285,139536.3776
286,647360.11129
287,310683.37125
288,711079.11635
289,449164.81939
290,4855396.6716
291,336014.05737
292,922712.56656
293,1224953.0353
294,2772641.5616
295,928353.03565
296,1673940.205
297,107404.82683
298,922712.56656
299,403974.68273
300,2000542.4494
301,375800.45743
302,790497.9542
303,107404.82683
304,359108.08872
305,150981.64898
306,1224953.0353
307,164709.07741
308,-32309.62096
309,4855396.6716
310,604964.18808
311,665683.6598
312,928353.03565
313,403974.68273
314,684168.37587
315,646306.37075
316,134180.17573
317,232259.15801
318,1108603.3426
319,880690.20565
320,336014.05737
321,392551.77702
322,684168.37587
323,107404.82683
324,232259.15801
325,164709.07741
326,1189326.5055
327,880690.20565
328,134180.17573
329,922712.56656
330,139536.3776
331,3945913.9091
332,665683.6598
333,2000542.4494
334,646306.37075
335,1232489.568
336,935052.52539
337,310683.37125
338,711079.11635
339,107404.82683
340,684168.37587
341,1232489.568
342,375800.45743
343,310683.37125
344,711079.11635
345,4855396.6716
346,336014.05737
347,585216.77752
348,139536.3776
349,684168.37587
350,928353.03565
351,1328648.6955
352,711079.11635
353,665683.6598
354,604964.18808
355,535165.99956
356,647360.11129
357,572035.4501
358,232259.15801
359,164709.07741
360,-32309.62096
361,880690.20565
362,4855396.6716
363,922712.56656
364,1108603.3426
365,572035.4501
366,336014.05737
367,107404.82683
368,647360.11129
369,665683.6598
370,646306.37075
371,403974.68273
372,790497.9542
373,833001.46459
374,107404.82683
375,928353.03565
376,139536.3776
377,2772641.5616
378,600966.00423
379,604964.18808
380,336014.05737
381,107404.82683
382,449164.81939
383,359108.08872
384,4855396.6716
385,711079.11635
386,1224953.0353
387,647360.11129
388,684168.37587
389,164709.07741
390,164709.07741
391,336014.05737
392,392551.77702
393,134180.17573
394,718489.00943
395,600966.00423
396,604964.18808
397,139536.3776
398,3945913.9091
399,790497.9542
400,375800.45743
401,164709.07741
402,711079.11635
403,684168.37587
404,1189326.5055
405,833001.46459
406,392551.77702
407,684168.37587
408,600966.00423
409,336014.05737
410,392551.77702
411,718489.00943
412,600966.00423
413,375800.45743
414,646306.37075
415,310683.37125
416,-32309.62096
417,2000542.4494
418,646306.37075
419,107404.82683
420,164709.07741
421,4855396.6716
422,711079.11635
423,665683.6598
424,604964.18808
425,139536.3776
426,894868.97736
427,107404.82683
428,1232489.568
429,935052.52539
430,403974.68273
431,646306.37075
432,164709.07741
433,139536.3776
434,392551.77702
435,604964.18808
436,718489.00943
437,922712.56656
438,535165.99956
439,3945913.9091
440,894868.97736
441,2000542.4494
442,1232489.568
443,375800.45743
444,711079.11635
445,585216.77752
446,1232489.568
447,375800.45743
448,711079.11635
449,718489.00943
450,336014.05737
451,922712.56656
452,585216.77752
453,1224953.0353
454,928353.03565
455,359108.08872
456,665683.6598
457,894868.97736
458,1189326.5055
459,310683.37125
460,4855396.6716
461,718489.00943
462,604964.18808
463,139536.3776
464,646306.37075
465,107404.82683
466,935052.52539
467,1108603.3426
468,4855396.6716
469,922712.56656
470,-32309.62096
471,585216.77752
472,134180.17573
473,-32309.62096
474,107404.82683
475,359108.08872
476,4855396.6716
477,647360.11129
478,665683.6598
479,134180.17573
480,894868.97736
481,600966.00423
482,164709.07741
483,1108603.3426
484,711079.11635
485,665683.6598
486,139536.3776
487,572035.4501
488,600966.00423
489,375800.45743
490,359108.08872
491,164709.07741
492,711079.11635
493,336014.05737
494,107404.82683
495,647360.11129
496,684168.37587
497,1673940.205
498,604964.18808
499,-32309.62096
500,403974.68273
501,572035.4501
502,375800.45743
503,154231.91154
504,403974.68273
505,164709.07741
506,665683.6598
507,336014.05737
508,107404.82683
509,139536.3776
510,403974.68273
511,647360.11129
512,375800.45743
513,375800.45743
514,310683.37125
515,449164.81939
516,4855396.6716
517,1224953.0353
518,154231.91154
519,403974.68273
520,790497.9542
521,-32309.62096
522,375800.45743
523,359108.08872
524,4855396.6716
525,150981.64898
526,164709.07741
527,572035.4501
528,928353.03565
529,4855396.6716
530,150981.64898
531,665683.6598
532,336014.05737
533,107404.82683
534,139536.3776
535,600966.00423
536,647360.11129
537,665683.6598
538,600966.00423
539,107404.82683
540,1328648.6955
541,833001.46459
542,535165.99956
543,164709.07741
544,375800.45743
545,154231.91154
546,164709.07741
547,-32309.62096
548,336014.05737
549,665683.6598
550,604964.18808
551,375800.45743
552,164709.07741
553,600966.00423
554,604964.18808
555,790497.9542
556,833001.46459
557,107404.82683
558,604964.18808
559,150981.64898
560,164709.07741
561,375800.45743
562,1673940.205
563,403974.68273
564,-32309.62096
565,4855396.6716
566,336014.05737
567,535165.99956
568,928353.03565
569,894868.97736
570,600966.00423
571,310683.37125
572,-32309.62096
573,150981.64898
574,403974.68273
575,647360.11129
576,646306.37075
577,164709.07741
578,4855396.6716
579,711079.11635
580,375800.45743
581,600966.00423
582,232259.15801
583,647360.11129
584,665683.6598
585,572035.4501
586,535165.99956
587,928353.03565
588,894868.97736
589,600966.00423
590,790497.9542
591,600966.00423
592,164709.07741
593,790497.9542
594,310683.37125
595,449164.81939
596,150981.64898
597,4855396.6716
598,375800.45743
599,2772641.5616
600,107404.82683
601,1232489.568
602,375800.45743
603,880690.20565
604,978006.6775
605,684168.37587
606,665683.6598
607,375800.45743
608,935052.52539
609,711079.11635
610,922712.56656
611,107404.82683
612,139536.3776
613,2772641.5616
614,684168.37587
615,928353.03565
616,1232489.568
617,164709.07741
618,375800.45743
619,403974.68273
620,1108603.3426
621,572035.4501
622,600966.00423
623,647360.11129
624,1673940.205
625,1189326.5055
626,139536.3776
627,134180.17573
628,922712.56656
629,403974.68273
630,790497.9542
631,107404.82683
632,1328648.6955
633,134180.17573
634,647360.11129
635,684168.37587
636,310683.37125
637,139536.3776
638,684168.37587
639,604964.18808
640,711079.11635
641,403974.68273
642,154231.91154
643,403974.68273
644,1328648.6955
645,4855396.6716
646,711079.11635
647,150981.64898
648,1224953.0353
649,107404.82683
650,684168.37587
651,139536.3776
652,790497.9542
653,1108603.3426
654,711079.11635
655,665683.6598
656,894868.97736
657,600966.00423
658,1673940.205
659,107404.82683
660,139536.3776
661,359108.08872
662,833001.46459
663,134180.17573
664,572035.4501
665,1108603.3426
666,711079.11635
667,1673940.205
668,-32309.62096
669,665683.6598
670,134180.17573
671,535165.99956
672,600966.00423
673,164709.07741
674,310683.37125
675,880690.20565
676,392551.77702
677,3945913.9091
678,164709.07741
679,1108603.3426
680,336014.05737
681,359108.08872
682,833001.46459
683,134180.17573
684,665683.6598
685,150981.64898
686,572035.4501
687,600966.00423
688,107404.82683
689,-32309.62096
690,4855396.6716
691,139536.3776
692,833001.46459
693,403974.68273
694,894868.97736
695,164709.07741
696,1108603.3426
697,718489.00943
698,-32309.62096
699,1224953.0353
700,139536.3776
701,684168.37587
702,604964.18808
703,646306.37075
704,134180.17573
705,232259.15801
706,164709.07741
707,535165.99956
708,894868.97736
709,600966.00423
710,1108603.3426
711,359108.08872
712,833001.46459
713,535165.99956
714,139536.3776
715,647360.11129
716,572035.4501
717,336014.05737
718,-32309.62096
719,1328648.6955
720,359108.08872
721,604964.18808
722,711079.11635
723,150981.64898
724,403974.68273
725,375800.45743
726,403974.68273
727,-32309.62096
728,336014.05737
729,373051.74388
730,684168.37587
731,790497.9542
732,359108.08872
733,4855396.6716
734,647360.11129
735,336014.05737
736,604964.18808
737,164709.07741
738,310683.37125
739,684168.37587
740,604964.18808
741,665683.6598
742,375800.45743
743,1232489.568
744,935052.52539
745,336014.05737
746,922712.56656
747,-32309.62096
748,585216.77752
749,139536.3776
750,604964.18808
751,928353.03565
752,646306.37075
753,134180.17573
754,403974.68273
755,790497.9542
756,-32309.62096
757,375800.45743
758,359108.08872
759,647360.11129
760,665683.6598
761,572035.4501
762,535165.99956
763,928353.03565
764,894868.97736
765,232259.15801
766,310683.37125
767,449164.81939
768,-32309.62096
769,139536.3776
770,3945913.9091
771,684168.37587
772,2000542.4494
773,107404.82683
