Id,Prediction
1,341116.64568
2,4999836.5688
3,1568128.9824
4,2276979.1788
5,1030828.0426
6,213644.35894
7,468043.09487
8,784743.56753
9,367247.65223
10,445767.80498
11,444273.34733
12,529908.46632
13,2276979.1788
14,76622.482225
15,742498.35049
16,590683.91627
17,213644.35894
18,341116.64568
19,217909.97477
20,590683.91627
21,1157789.8807
22,227540.5009
23,445767.80498
24,1030828.0426
25,520284.07448
26,367247.65223
27,327150.38737
28,444273.34733
29,529908.46632
30,591128.36615
31,99249.416811
32,445767.80498
33,590683.91627
34,447104.70741
35,213644.35894
36,217909.97477
37,384988.30227
38,520284.07448
39,1257599.5036
40,4999836.5688
41,1124748.3009
42,367247.65223
43,807424.73866
44,1323582.5163
45,4999836.5688
46,327150.38737
47,213644.35894
48,824345.50919
49,1030828.0426
50,2276979.1788
51,447104.70741
52,529908.46632
53,434516.1215
54,1026288.898
55,4999836.5688
56,618954.16839
57,1257599.5036
58,227540.5009
59,529908.46632
60,444273.34733
61,76622.482225
62,742498.35049
63,227540.5009
64,445767.80498
65,341116.64568
66,618954.16839
67,341116.64568
68,590683.91627
69,447104.70741
70,5296489.9147
71,1323582.5163
72,367247.65223
73,213644.35894
74,1157789.8807
75,784743.56753
76,676374.66619
77,520284.07448
78,367247.65223
79,341116.64568
80,481037.96899
81,445767.80498
82,327150.38737
83,1323582.5163
84,211997.35962
85,481037.96899
86,445767.80498
87,213644.35894
88,444273.34733
89,1030828.0426
90,217909.97477
91,2276979.1788
92,447104.70741
93,618954.16839
94,676374.66619
95,445767.80498
96,529908.46632
97,341116.64568
98,217909.97477
99,4999836.5688
100,211997.35962
101,2276979.1788
102,445767.80498
103,1030828.0426
104,213644.35894
105,288314.05262
106,76622.482225
107,341116.64568
108,99249.416811
109,383675.98117
110,447104.70741
111,1124748.3009
112,5296489.9147
113,520284.07448
114,217909.97477
115,481037.96899
116,591128.36615
117,845211.5238
118,2276979.1788
119,447104.70741
120,723345.21315
121,4999836.5688
122,227540.5009
123,468043.09487
124,217909.97477
125,367247.65223
126,211997.35962
127,227540.5009
128,520284.07448
129,227540.5009
130,481037.96899
131,4999836.5688
132,1157789.8807
133,76622.482225
134,529908.46632
135,1026288.898
136,1257599.5036
137,784743.56753
138,529908.46632
139,444273.34733
140,447104.70741
141,434516.1215
142,1026288.898
143,384988.30227
144,327150.38737
145,824345.50919
146,784743.56753
147,845211.5238
148,447104.70741
149,211997.35962
150,742498.35049
151,227540.5009
152,1124748.3009
153,384988.30227
154,217909.97477
155,4999836.5688
156,341116.64568
157,784743.56753
158,445767.80498
159,481037.96899
160,227540.5009
161,327150.38737
162,213644.35894
163,824345.50919
164,341116.64568
165,1030828.0426
166,2276979.1788
167,723345.21315
168,591128.36615
169,1026288.898
170,4999836.5688
171,481037.96899
172,213644.35894
173,824345.50919
174,444273.34733
175,591128.36615
176,367247.65223
177,227540.5009
178,445767.80498
179,384988.30227
180,784743.56753
181,529908.46632
182,99249.416811
183,4999836.5688
184,1124748.3009
185,211997.35962
186,807424.73866
187,227540.5009
188,676374.66619
189,76622.482225
190,211997.35962
191,618954.16839
192,384988.30227
193,845211.5238
194,217909.97477
195,2276979.1788
196,434516.1215
197,1323582.5163
198,341116.64568
199,4999836.5688
200,618954.16839
201,213644.35894
202,1257599.5036
203,1000207.0729
204,367247.65223
205,227540.5009
206,383675.98117
207,384988.30227
208,824345.50919
209,217909.97477
210,529908.46632
211,742498.35049
212,591128.36615
213,590683.91627
214,447104.70741
215,227540.5009
216,5296489.9147
217,529908.46632
218,211997.35962
219,1323582.5163
220,529908.46632
221,618954.16839
222,444273.34733
223,288314.05262
224,99249.416811
225,591128.36615
226,383675.98117
227,676374.66619
228,1294831.4792
229,367247.65223
230,807424.73866
231,2276979.1788
232,676374.66619
233,445767.80498
234,213644.35894
235,341116.64568
236,383675.98117
237,529908.46632
238,1568128.9824
239,217909.97477
240,468043.09487
241,76622.482225
242,327150.38737
243,784743.56753
244,367247.65223
245,4999836.5688
246,76622.482225
247,591128.36615
248,845211.5238
249,1294831.4792
250,76622.482225
251,529908.46632
252,676374.66619
253,341116.64568
254,447104.70741
255,1723567.2864
256,723345.21315
257,213644.35894
258,76622.482225
259,1568128.9824
260,288314.05262
261,76622.482225
262,742498.35049
263,383675.98117
264,5296489.9147
265,591128.36615
266,1323582.5163
267,481037.96899
268,445767.80498
269,1000207.0729
270,618954.16839
271,341116.64568
272,383675.98117
273,5296489.9147
274,520284.07448
275,76622.482225
276,1323582.5163
277,618954.16839
278,676374.66619
279,341116.64568
280,444273.34733
281,384988.30227
282,367247.65223
283,341116.64568
284,618954.16839
285,227540.5009
286,784743.56753
287,99249.416811
288,1257599.5036
289,468043.09487
290,4999836.5688
291,591128.36615
292,1124748.3009
293,1157789.8807
294,2276979.1788
295,1030828.0426
296,723345.21315
297,211997.35962
298,1124748.3009
299,217909.97477
300,1568128.9824
301,529908.46632
302,1323582.5163
